image_path,x,y,w,h,class_id,class_name,signal_state
raw_frames\5hXUlLcSwsM\frame_00052.jpg,1110,554,200,160,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00053.jpg,1256,526,169,132,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00054.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00055.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00056.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00057.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00058.jpg,1318,570,264,199,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00059.jpg,1460,532,206,155,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00060.jpg,1540,516,160,128,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00061.jpg,1566,474,164,127,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00062.jpg,1594,465,136,94,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00063.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00064.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00065.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00066.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00067.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00068.jpg,687,560,276,170,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00069.jpg,860,517,236,160,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00070.jpg,922,553,276,208,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00070.jpg,1551,524,163,137,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00071.jpg,1088,530,220,175,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00072.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00073.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00074.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00075.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00076.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00077.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00078.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00079.jpg,1606,687,300,322,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00080.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00081.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00082.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00083.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00084.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00085.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00086.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00087.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00088.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00089.jpg,1540,567,264,218,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00090.jpg,1582,554,238,199,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00091.jpg,1592,544,234,200,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00091.jpg,826,471,568,369,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00091.jpg,657,553,199,223,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00092.jpg,1592,551,228,190,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00092.jpg,850,462,558,374,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00092.jpg,686,575,226,195,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00093.jpg,1600,554,218,190,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00094.jpg,1616,554,210,181,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00095.jpg,1580,535,248,209,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00096.jpg,1590,539,232,208,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00097.jpg,2,747,644,308,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00098.jpg,351,689,513,295,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00099.jpg,570,639,446,204,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00100.jpg,744,628,362,258,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00101.jpg,843,599,329,240,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00102.jpg,900,587,312,217,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00102.jpg,1104,664,394,290,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00103.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00104.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00105.jpg,998,560,294,231,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00105.jpg,1296,597,316,236,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00105.jpg,302,561,564,289,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00106.jpg,1010,560,295,215,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00106.jpg,1324,596,305,225,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00106.jpg,418,559,558,256,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00107.jpg,591,498,445,324,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00108.jpg,622,461,418,386,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00109.jpg,723,504,312,216,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00110.jpg,742,538,298,203,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00111.jpg,772,474,264,249,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00112.jpg,728,461,298,277,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00113.jpg,778,519,256,226,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00114.jpg,762,504,279,215,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00115.jpg,723,493,313,251,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00116.jpg,758,519,282,207,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00117.jpg,717,489,329,268,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00118.jpg,706,507,324,207,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00119.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00120.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00121.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00122.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00123.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00124.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00125.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00126.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00127.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00128.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00129.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00130.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00131.jpg,774,618,392,272,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00132.jpg,1072,551,290,237,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00133.jpg,1270,535,216,182,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00134.jpg,1366,513,214,152,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00135.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00136.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00137.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00138.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00139.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00140.jpg,1124,578,234,198,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00141.jpg,1113,572,251,204,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00141.jpg,548,548,506,251,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00142.jpg,1118,578,265,194,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00142.jpg,842,524,318,229,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00143.jpg,1106,578,258,203,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00143.jpg,1118,510,192,99,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00144.jpg,1114,579,246,200,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00144.jpg,1208,477,188,133,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00145.jpg,1112,573,289,218,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00146.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00147.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00148.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00149.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00150.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00151.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00152.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00153.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00154.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00155.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00156.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00157.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00158.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00159.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00160.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00161.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00162.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00163.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00164.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00165.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00166.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00167.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00168.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00169.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00170.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00171.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00172.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00173.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00174.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00175.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00176.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00177.jpg,945,661,295,204,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00178.jpg,986,661,294,189,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00179.jpg,1016,655,271,195,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00180.jpg,1028,650,272,199,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00181.jpg,1002,641,290,195,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00182.jpg,1018,649,290,198,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00183.jpg,1026,653,252,171,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00183.jpg,1070,769,342,262,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00184.jpg,1262,684,289,242,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00184.jpg,1036,661,233,201,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00185.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00186.jpg,1432,631,220,193,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00186.jpg,1030,653,262,197,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00187.jpg,1474,627,198,182,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00187.jpg,1032,659,270,196,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00188.jpg,1502,607,193,187,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00188.jpg,1016,656,274,196,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00189.jpg,1497,606,209,182,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00189.jpg,1024,667,268,177,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00190.jpg,1496,601,216,171,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00190.jpg,1018,659,274,191,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00191.jpg,1502,594,206,188,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00192.jpg,1506,597,200,190,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00192.jpg,1018,652,282,195,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00192.jpg,440,687,336,184,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00193.jpg,1508,610,198,162,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00193.jpg,1016,652,295,195,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00193.jpg,478,658,346,200,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00194.jpg,1506,599,200,197,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00194.jpg,1018,656,276,206,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00194.jpg,512,647,325,211,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00195.jpg,1492,604,220,178,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00195.jpg,1022,655,274,201,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00195.jpg,537,667,305,189,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00196.jpg,1504,604,204,177,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00196.jpg,999,637,313,213,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00196.jpg,525,667,318,189,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00197.jpg,1496,613,206,171,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00197.jpg,1018,661,280,182,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00197.jpg,486,670,380,183,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00198.jpg,1478,594,234,182,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00198.jpg,1012,647,280,200,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00198.jpg,534,658,322,188,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00199.jpg,1503,619,187,175,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00199.jpg,1026,658,282,195,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00199.jpg,520,659,335,187,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00200.jpg,1488,619,220,169,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00200.jpg,1016,646,274,201,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00200.jpg,520,662,328,202,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00201.jpg,1484,610,212,172,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00201.jpg,1012,653,292,194,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00201.jpg,544,667,306,189,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00202.jpg,1474,604,224,203,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00202.jpg,1022,683,272,148,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00202.jpg,520,646,322,209,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00203.jpg,1461,616,231,172,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00203.jpg,1036,653,250,196,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00203.jpg,536,673,306,176,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00204.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00205.jpg,1222,699,364,329,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00205.jpg,14,382,944,668,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00206.jpg,1378,619,293,282,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00206.jpg,216,367,897,686,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00207.jpg,1464,610,246,215,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00207.jpg,424,366,743,643,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00207.jpg,4,741,268,305,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00208.jpg,1527,593,215,179,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00208.jpg,544,359,671,622,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00208.jpg,8,705,427,314,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00209.jpg,646,369,616,579,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00209.jpg,99,661,475,318,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00210.jpg,718,375,600,576,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00210.jpg,216,649,436,304,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00211.jpg,764,366,559,561,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00211.jpg,330,631,410,285,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00212.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00213.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00214.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00215.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00216.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00217.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00218.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00219.jpg,760,634,336,261,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00220.jpg,1022,612,252,191,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00221.jpg,1172,594,212,165,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00222.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00223.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00224.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00225.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00226.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00227.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00228.jpg,1072,559,576,420,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00229.jpg,1102,551,461,428,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00230.jpg,1068,575,504,361,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00230.jpg,366,784,498,263,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00230.jpg,4,658,404,323,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00231.jpg,1100,557,499,412,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00231.jpg,654,670,375,286,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00231.jpg,60,628,464,332,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00232.jpg,183,634,435,289,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00232.jpg,864,652,272,221,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00232.jpg,1090,545,460,437,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00233.jpg,274,596,418,323,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00233.jpg,1036,610,114,160,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00234.jpg,294,604,468,269,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00234.jpg,1072,545,488,446,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00235.jpg,388,604,378,246,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00235.jpg,46,764,592,294,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00235.jpg,1088,569,492,394,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00236.jpg,418,596,366,232,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00236.jpg,225,705,549,341,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00236.jpg,1110,575,459,412,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00237.jpg,386,721,492,289,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00237.jpg,402,594,400,181,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00237.jpg,1082,532,475,455,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00238.jpg,504,723,440,261,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00238.jpg,1083,563,497,437,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00239.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00240.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00241.jpg,486,825,438,230,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00241.jpg,68,778,450,219,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00242.jpg,894,753,340,200,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00242.jpg,244,736,443,225,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00243.jpg,1140,696,268,148,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00243.jpg,366,708,446,213,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00244.jpg,1308,653,206,137,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00244.jpg,490,708,362,200,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00245.jpg,550,699,346,190,0,compliant_vehicle,red
